state,abbr,date,year,month,pulse_difficulty_expenses_pct,pulse_food_insufficient_pct,pulse_behind_on_housing_pct,ght_financial_abs,ght_food_abs,ght_housing_abs,gt_financial_rel,gt_food_rel,gt_housing_rel,unemployment_rate,ui_initial_claims,poverty_rate,rent_burden_pct,hpi_change,usda_food_insecurity_3yr_avg
Alaska,AK,2023-09-01,2023,9,,,,,,,,,,,,,,,13.0
Alaska,AK,2023-10-01,2023,10,,,,,,,,,,,,,,,13.0
Alaska,AK,2023-11-01,2023,11,,,,,,,,,,,,,,,13.0
Alaska,AK,2023-12-01,2023,12,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-01-01,2024,1,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-02-01,2024,2,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-03-01,2024,3,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-04-01,2024,4,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-05-01,2024,5,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-06-01,2024,6,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-07-01,2024,7,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-08-01,2024,8,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-09-01,2024,9,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-10-01,2024,10,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-11-01,2024,11,,,,,,,,,,,,,,,13.0
Alaska,AK,2024-12-01,2024,12,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-01-01,2025,1,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-02-01,2025,2,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-03-01,2025,3,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-04-01,2025,4,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-05-01,2025,5,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-06-01,2025,6,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-07-01,2025,7,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-08-01,2025,8,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-09-01,2025,9,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-10-01,2025,10,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-11-01,2025,11,,,,,,,,,,,,,,,13.0
Alaska,AK,2025-12-01,2025,12,,,,,,,,,,,,,,,13.0
Alaska,AK,2026-01-01,2026,1,,,,,,,,,,,,,,,13.0
Alaska,AK,2026-02-01,2026,2,,,,,,,,,,,,,,,13.0
Alaska,AK,2026-03-01,2026,3,,,,,,,,,,,,,,,13.0
Alaska,AK,2026-04-01,2026,4,,,,,,,,,,,,,,,13.0
Alaska,AK,2026-05-01,2026,5,,,,,,,,,,,,,,,13.0
Alaska,AK,2026-06-01,2026,6,,,,,,,,,,,,,,,13.0
Arizona,AZ,2022-01-01,2022,1,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-02-01,2022,2,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-03-01,2022,3,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-04-01,2022,4,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-05-01,2022,5,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-06-01,2022,6,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-07-01,2022,7,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-08-01,2022,8,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-09-01,2022,9,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-10-01,2022,10,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-11-01,2022,11,,,,,,,,,,,,,,,13.1
Arizona,AZ,2022-12-01,2022,12,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-01-01,2023,1,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-02-01,2023,2,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-03-01,2023,3,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-04-01,2023,4,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-05-01,2023,5,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-06-01,2023,6,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-07-01,2023,7,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-08-01,2023,8,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-09-01,2023,9,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-10-01,2023,10,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-11-01,2023,11,,,,,,,,,,,,,,,13.1
Arizona,AZ,2023-12-01,2023,12,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-01-01,2024,1,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-02-01,2024,2,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-03-01,2024,3,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-04-01,2024,4,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-05-01,2024,5,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-06-01,2024,6,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-07-01,2024,7,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-08-01,2024,8,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-09-01,2024,9,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-10-01,2024,10,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-11-01,2024,11,,,,,,,,,,,,,,,13.1
Arizona,AZ,2024-12-01,2024,12,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-01-01,2025,1,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-02-01,2025,2,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-03-01,2025,3,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-04-01,2025,4,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-05-01,2025,5,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-06-01,2025,6,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-07-01,2025,7,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-08-01,2025,8,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-09-01,2025,9,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-10-01,2025,10,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-11-01,2025,11,,,,,,,,,,,,,,,13.1
Arizona,AZ,2025-12-01,2025,12,,,,,,,,,,,,,,,13.1
Arizona,AZ,2026-01-01,2026,1,,,,,,,,,,,,,,,13.1
Arizona,AZ,2026-02-01,2026,2,,,,,,,,,,,,,,,13.1
Arizona,AZ,2026-03-01,2026,3,,,,,,,,,,,,,,,13.1
Arizona,AZ,2026-04-01,2026,4,,,,,,,,,,,,,,,13.1
Arizona,AZ,2026-05-01,2026,5,,,,,,,,,,,,,,,13.1
Arizona,AZ,2026-06-01,2026,6,,,,,,,,,,,,,,,13.1
Arkansas,AR,2022-01-01,2022,1,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-02-01,2022,2,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-03-01,2022,3,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-04-01,2022,4,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-05-01,2022,5,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-06-01,2022,6,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-07-01,2022,7,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-08-01,2022,8,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-09-01,2022,9,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-10-01,2022,10,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-11-01,2022,11,,,,,,,,,,,,,,,19.4
Arkansas,AR,2022-12-01,2022,12,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-01-01,2023,1,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-02-01,2023,2,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-03-01,2023,3,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-04-01,2023,4,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-05-01,2023,5,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-06-01,2023,6,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-07-01,2023,7,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-08-01,2023,8,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-09-01,2023,9,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-10-01,2023,10,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-11-01,2023,11,,,,,,,,,,,,,,,19.4
Arkansas,AR,2023-12-01,2023,12,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-01-01,2024,1,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-02-01,2024,2,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-03-01,2024,3,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-04-01,2024,4,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-05-01,2024,5,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-06-01,2024,6,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-07-01,2024,7,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-08-01,2024,8,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-09-01,2024,9,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-10-01,2024,10,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-11-01,2024,11,,,,,,,,,,,,,,,19.4
Arkansas,AR,2024-12-01,2024,12,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-01-01,2025,1,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-02-01,2025,2,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-03-01,2025,3,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-04-01,2025,4,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-05-01,2025,5,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-06-01,2025,6,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-07-01,2025,7,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-08-01,2025,8,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-09-01,2025,9,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-10-01,2025,10,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-11-01,2025,11,,,,,,,,,,,,,,,19.4
Arkansas,AR,2025-12-01,2025,12,,,,,,,,,,,,,,,19.4
Arkansas,AR,2026-01-01,2026,1,,,,,,,,,,,,,,,19.4
Arkansas,AR,2026-02-01,2026,2,,,,,,,,,,,,,,,19.4
Arkansas,AR,2026-03-01,2026,3,,,,,,,,,,,,,,,19.4
Arkansas,AR,2026-04-01,2026,4,,,,,,,,,,,,,,,19.4
Arkansas,AR,2026-05-01,2026,5,,,,,,,,,,,,,,,19.4
Arkansas,AR,2026-06-01,2026,6,,,,,,,,,,,,,,,19.4
California,CA,2022-01-01,2022,1,,,,,,,,,,,,,,,12.5
California,CA,2022-02-01,2022,2,,,,,,,,,,,,,,,12.5
California,CA,2022-03-01,2022,3,,,,,,,,,,,,,,,12.5
California,CA,2022-04-01,2022,4,,,,,,,,,,,,,,,12.5
California,CA,2022-05-01,2022,5,,,,,,,,,,,,,,,12.5
California,CA,2022-06-01,2022,6,,,,,,,,,,,,,,,12.5
California,CA,2022-07-01,2022,7,,,,,,,,,,,,,,,12.5
California,CA,2022-08-01,2022,8,,,,,,,,,,,,,,,12.5
California,CA,2022-09-01,2022,9,,,,,,,,,,,,,,,12.5
California,CA,2022-10-01,2022,10,,,,,,,,,,,,,,,12.5
California,CA,2022-11-01,2022,11,,,,,,,,,,,,,,,12.5
California,CA,2022-12-01,2022,12,,,,,,,,,,,,,,,12.5
California,CA,2023-01-01,2023,1,,,,,,,,,,,,,,,12.5
California,CA,2023-02-01,2023,2,,,,,,,,,,,,,,,12.5
California,CA,2023-03-01,2023,3,,,,,,,,,,,,,,,12.5
California,CA,2023-04-01,2023,4,,,,,,,,,,,,,,,12.5
California,CA,2023-05-01,2023,5,,,,,,,,,,,,,,,12.5
California,CA,2023-06-01,2023,6,,,,,,,,,,,,,,,12.5
California,CA,2023-07-01,2023,7,,,,,,,,,,,,,,,12.5
California,CA,2023-08-01,2023,8,,,,,,,,,,,,,,,12.5
California,CA,2023-09-01,2023,9,,,,,,,,,,,,,,,12.5
California,CA,2023-10-01,2023,10,,,,,,,,,,,,,,,12.5
California,CA,2023-11-01,2023,11,,,,,,,,,,,,,,,12.5
California,CA,2023-12-01,2023,12,,,,,,,,,,,,,,,12.5
California,CA,2024-01-01,2024,1,,,,,,,,,,,,,,,12.5
California,CA,2024-02-01,2024,2,,,,,,,,,,,,,,,12.5
California,CA,2024-03-01,2024,3,,,,,,,,,,,,,,,12.5
California,CA,2024-04-01,2024,4,,,,,,,,,,,,,,,12.5
California,CA,2024-05-01,2024,5,,,,,,,,,,,,,,,12.5
California,CA,2024-06-01,2024,6,,,,,,,,,,,,,,,12.5
California,CA,2024-07-01,2024,7,,,,,,,,,,,,,,,12.5
California,CA,2024-08-01,2024,8,,,,,,,,,,,,,,,12.5
California,CA,2024-09-01,2024,9,,,,,,,,,,,,,,,12.5
California,CA,2024-10-01,2024,10,,,,,,,,,,,,,,,12.5
California,CA,2024-11-01,2024,11,,,,,,,,,,,,,,,12.5
California,CA,2024-12-01,2024,12,,,,,,,,,,,,,,,12.5
California,CA,2025-01-01,2025,1,,,,,,,,,,,,,,,12.5
California,CA,2025-02-01,2025,2,,,,,,,,,,,,,,,12.5
California,CA,2025-03-01,2025,3,,,,,,,,,,,,,,,12.5
California,CA,2025-04-01,2025,4,,,,,,,,,,,,,,,12.5
California,CA,2025-05-01,2025,5,,,,,,,,,,,,,,,12.5
California,CA,2025-06-01,2025,6,,,,,,,,,,,,,,,12.5
California,CA,2025-07-01,2025,7,,,,,,,,,,,,,,,12.5
California,CA,2025-08-01,2025,8,,,,,,,,,,,,,,,12.5
California,CA,2025-09-01,2025,9,,,,,,,,,,,,,,,12.5
California,CA,2025-10-01,2025,10,,,,,,,,,,,,,,,12.5
California,CA,2025-11-01,2025,11,,,,,,,,,,,,,,,12.5
California,CA,2025-12-01,2025,12,,,,,,,,,,,,,,,12.5
California,CA,2026-01-01,2026,1,,,,,,,,,,,,,,,12.5
California,CA,2026-02-01,2026,2,,,,,,,,,,,,,,,12.5
California,CA,2026-03-01,2026,3,,,,,,,,,,,,,,,12.5
California,CA,2026-04-01,2026,4,,,,,,,,,,,,,,,12.5
California,CA,2026-05-01,2026,5,,,,,,,,,,,,,,,12.5
California,CA,2026-06-01,2026,6,,,,,,,,,,,,,,,12.5
Colorado,CO,2022-01-01,2022,1,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-02-01,2022,2,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-03-01,2022,3,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-04-01,2022,4,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-05-01,2022,5,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-06-01,2022,6,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-07-01,2022,7,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-08-01,2022,8,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-09-01,2022,9,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-10-01,2022,10,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-11-01,2022,11,,,,,,,,,,,,,,,10.5
Colorado,CO,2022-12-01,2022,12,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-01-01,2023,1,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-02-01,2023,2,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-03-01,2023,3,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-04-01,2023,4,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-05-01,2023,5,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-06-01,2023,6,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-07-01,2023,7,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-08-01,2023,8,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-09-01,2023,9,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-10-01,2023,10,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-11-01,2023,11,,,,,,,,,,,,,,,10.5
Colorado,CO,2023-12-01,2023,12,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-01-01,2024,1,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-02-01,2024,2,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-03-01,2024,3,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-04-01,2024,4,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-05-01,2024,5,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-06-01,2024,6,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-07-01,2024,7,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-08-01,2024,8,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-09-01,2024,9,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-10-01,2024,10,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-11-01,2024,11,,,,,,,,,,,,,,,10.5
Colorado,CO,2024-12-01,2024,12,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-01-01,2025,1,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-02-01,2025,2,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-03-01,2025,3,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-04-01,2025,4,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-05-01,2025,5,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-06-01,2025,6,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-07-01,2025,7,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-08-01,2025,8,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-09-01,2025,9,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-10-01,2025,10,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-11-01,2025,11,,,,,,,,,,,,,,,10.5
Colorado,CO,2025-12-01,2025,12,,,,,,,,,,,,,,,10.5
Colorado,CO,2026-01-01,2026,1,,,,,,,,,,,,,,,10.5
Colorado,CO,2026-02-01,2026,2,,,,,,,,,,,,,,,10.5
Colorado,CO,2026-03-01,2026,3,,,,,,,,,,,,,,,10.5
Colorado,CO,2026-04-01,2026,4,,,,,,,,,,,,,,,10.5
Colorado,CO,2026-05-01,2026,5,,,,,,,,,,,,,,,10.5
Colorado,CO,2026-06-01,2026,6,,,,,,,,,,,,,,,10.5
Connecticut,CT,2022-01-01,2022,1,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-02-01,2022,2,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-03-01,2022,3,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-04-01,2022,4,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-05-01,2022,5,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-06-01,2022,6,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-07-01,2022,7,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-08-01,2022,8,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-09-01,2022,9,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-10-01,2022,10,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-11-01,2022,11,,,,,,,,,,,,,,,12.1
Connecticut,CT,2022-12-01,2022,12,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-01-01,2023,1,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-02-01,2023,2,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-03-01,2023,3,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-04-01,2023,4,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-05-01,2023,5,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-06-01,2023,6,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-07-01,2023,7,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-08-01,2023,8,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-09-01,2023,9,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-10-01,2023,10,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-11-01,2023,11,,,,,,,,,,,,,,,12.1
Connecticut,CT,2023-12-01,2023,12,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-01-01,2024,1,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-02-01,2024,2,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-03-01,2024,3,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-04-01,2024,4,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-05-01,2024,5,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-06-01,2024,6,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-07-01,2024,7,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-08-01,2024,8,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-09-01,2024,9,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-10-01,2024,10,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-11-01,2024,11,,,,,,,,,,,,,,,12.1
Connecticut,CT,2024-12-01,2024,12,,,,,,,,,,,,,,,12.1
